alpha,Mach,ci,omega_i,success,source,primary_ci,primary_omega_i,primary_success,primary_mismatch,secondary_ci,secondary_omega_i,secondary_success,secondary_stage1_mismatch,secondary_stage2_mismatch,ci_abs_diff,omega_abs_diff
0.72,0.35,0.1484607380333705,0.10689173138402676,True,primary,0.1484607380333705,0.10689173138402676,True,1.1966347363926442e-06,,,,,,,
0.7899999999999999,0.35,0.09854649349296392,0.07785172985944148,True,primary,0.09854649349296392,0.07785172985944148,True,8.747870651696493e-07,,,,,,,
0.8599999999999999,0.35,0.05056931511548204,0.043489610999314546,True,secondary_neutral,0.05058831976641087,0.04350595499911334,True,8.177092030358865e-08,0.05056931511548204,0.043489610999314546,True,6.928213690834327e-05,6.407522702657668e-28,1.9004650928834688e-05,1.6343999798794362e-05
0.9299999999999999,0.35,0.004360887734326977,0.0040556255929240885,True,secondary_neutral,0.02505405601853409,0.0233002720972367,True,7.143817381810146e-05,0.004360887734326977,0.0040556255929240885,True,7.455867608656733e-05,9.941619558047801e-26,0.020693168284207114,0.019244646504312613
1.0,0.35,0.0,0.0,True,primary,0.0,0.0,True,0.0,0.0010442295105619946,0.0010442295105619946,False,0.37772649480441445,3.251400661395131e-25,0.0010442295105619946,0.0010442295105619946
0.02,0.41999999999999993,0.8262647857320667,0.016525295714641335,True,primary,0.8262647857320667,0.016525295714641335,True,3.271296574870568e-07,,,,,,,
0.09,0.41999999999999993,0.7265984291498094,0.06539385862348285,True,primary,0.7265984291498094,0.06539385862348285,True,1.3406889299650074e-06,,,,,,,
0.15999999999999998,0.41999999999999993,0.6375292900813435,0.10200468641301495,True,primary,0.6375292900813435,0.10200468641301495,True,1.967417438315973e-06,,,,,,,
0.22999999999999995,0.41999999999999993,0.5567992434949948,0.12806382600384877,True,primary,0.5567992434949948,0.12806382600384877,True,1.9673916292657634e-06,,,,,,,
0.3,0.41999999999999993,0.4827851572207372,0.14483554716622116,True,primary,0.4827851572207372,0.14483554716622116,True,6.184172542510885e-07,,,,,,,
0.37,0.41999999999999993,0.41429010210936557,0.15328733778046524,True,primary,0.41429010210936557,0.15328733778046524,True,3.0008558171354394e-07,,,,,,,
0.43999999999999995,0.41999999999999993,0.3504096538181022,0.15418024767996494,True,primary,0.3504096538181022,0.15418024767996494,True,3.131398983750519e-06,,,,,,,
0.5099999999999999,0.41999999999999993,0.29037867773631765,0.14809312564552196,True,primary,0.29037867773631765,0.14809312564552196,True,2.2459274942477486e-06,,,,,,,
0.58,0.41999999999999993,0.23362885772281713,0.13550473747923392,True,primary,0.23362885772281713,0.13550473747923392,True,2.463001097172124e-08,,,,,,,
0.6499999999999999,0.41999999999999993,0.17972412187133568,0.11682067921636818,True,primary,0.17972412187133568,0.11682067921636818,True,1.024310521110204e-06,,,,,,,
0.72,0.41999999999999993,0.12822585011515844,0.09232261208291408,True,primary,0.12822585011515844,0.09232261208291408,True,4.524156092556306e-07,,,,,,,
0.7899999999999999,0.41999999999999993,0.0788765071125775,0.06231244061893622,True,secondary_neutral,0.0788491400253546,0.062290820620030135,True,4.1794370898092133e-07,0.0788765071125775,0.06231244061893622,True,5.211720042752784e-05,3.920835914174734e-27,2.7367087222895936e-05,2.161999890608335e-05
